Call Sign	On Air Id	Licensee
4BH	4BH	Queensland Radio 2000 Pty Ltd
	4BI	1197 Brisbane Interactive Radio Group Inc.
4EB	4EB	Ethnic Broadcasting Association of Queensland Lt
	4FRB	Family Radio Ltd
4KQ	4KQ	ARN Communications Pty Ltd
4MBS	4MBS	Music Broadcasting Society of Queensland Ltd
	4MMM	Triple M Bri Triple M Brisbane Pty Ltd
4RPH	4RPH	Queensland Radio for the Print Handicapped Ltd
4ZZZ	4ZZZ	Creative Broadcasters Ltd
4TAB	4TAB	Broadcasting Station 4IP Pty Ltd
4BCR	4BCR	Bundy FM Community Radio Association Inc.
4BU	4BU	Bundaberg Broadcasters Pty Ltd
4RGB	4RGB	Maryborough Broadcasting Company Pty Ltd
4RUM	4RUM	Bundaberg Broadcasters Pty Ltd
	4OUR	Classic Hits, Caboolture Community FM Radio Association Inc.
4CCA	4CCA	Greater Cairns Radio Pty Ltd
4EL	4EL	AMI Radio Pty Ltd
4HOT	4HOT	Greater Cairns Radio Pty Ltd
4RGC	4RGC	FNQ Broadcasters Cairns Pty Limited
4CCR	4CCR	Cairns Community Broadcasters Inc.
	4CIM	Bumma Bip Bumma Bippera Media Aboriginal & Torres Strait 	4CCC	4CCC	Pinecam Pty Ltd
4VL	4VL	Pinecam Pty Ltd
4CHT	4CHT	North Queensland Broadcasting Corporation Pty L
4GC	4GC	North Queensland Broadcasting Corporation Pty L
		Parremar Coconut Island Council
4DDD	4DDD	Dalby Broadcasting Association Inc.
		Darnley Island Council
		Dauan Island Council
	4ACR	Doomadgee Media Association Inc
4HI	4HI	Regional Broadcasters Australia Pty Ltd
4HIT	4HIT	Regional Broadcasters Australia Pty Ltd
4EEE	4EEE	Emerald Community Broadcasters Association Inc
		EMERALD S40 	4EM	4EM	Murrangi Holdings Pty Ltd
		Central Burnett Community Radio Association Inc.
4RGL	4RGL	Gladstone and District Christian Broadcasting Ass
	4CAB	Life FM Christian Air Broadcasters Ltd
4CRB	4CRB	Gold Coast Christian & Community Broadcasting 
4GLD	4GLD	Gold Coast FM Pty Ltd
	4HTB	1029 Hot To Hot Tomato Pty Ltd
	4MET	Radio Metro Radio Metro Ltd
4RHI	4RHI	Radio Hope Island Ltd
4SEA	4SEA	Sea FM Gold Coast Pty Ltd
		Mornington Island Council
		Cooloola Christian Radio Association Inc.
4GY	4GY	Gympie-Noosa Broadcasters Pty Ltd
4NNN	4NNN	Gympie-Noosa Broadcasters Pty Ltd
4FCR	4FCR	Fraser Coast Community Radio Inc.
		Hope Vale Aboriginal Council
		Injinoo Community Council
4KZ	4KZ	Coastal Broadcasters Pty Ltd
	4ZKZ	Kool FM Coastal Broadcasters Pty Ltd
	4MIX	River FM Star Broadcasting Network Pty Ltd
4KRY	4KRY	Forsby Pty Ltd
4SB	4SB	Forsby Pty Ltd
		Kowanyama Aboriginal Council
		Kubin Island Council
		Lockhart River Aboriginal Council
4CBL	4CBL	Radio Logan Inc.
4LG	4LG	Radio Outback Pty Limited
4LRE	4LRE	Radio Outback Pty Limited
		Mabuiag Island Community Council
4AA	4AA	AMI Radio Pty Ltd
4MKY	4MKY	Barrier Reef Broadcasting Pty Ltd
4MMK	4MMK	Barrier Reef Broadcasting Pty Ltd
4RGM	4RGM	Whitsundays Broadcasters Pty Ltd
4CRM	4CRM	Community Radio Association Mackay Inc.
4RCR	4RCR	Living Waters Community Radio Association Inc.
4CEE	4CEE	Maryborough Broadcasting Company Pty Ltd
4FC	4MB	Unitab Limited
	4MBB	The Heat Maryborough Broadcasting Company Pty Ltd
	4WBR	Rhema FM  Wide Bay Christian Broadcasters Association Inc.
		Rock FM Rock FM Association Inc.
4MIG	4MIG	Mt Isa Christian Broadcasters Association Inc.
4MOB	4MOB	Mount Isa Aboriginal Media Association (Aborigina
4LM	4LM	North Queensland Broadcasting Corporation Pty L
4MIC	4MIC	North Queensland Broadcasting Corporation Pty L
		Murray Islands Council
	4MCY	HOT 91 DMG Radio (Sunshine Coast) Pty Ltd
4SEE	4SEE	Sunshine Coast Broadcasters Pty Ltd
4SSS	4SSS	Sunshine Coast Broadcasters Pty Ltd
	4CLG	Rhema FM Sunshine Coast Christian Broadcasters Associatio
	4SDA	Sunshine F SDA Radio Association Inc.
		New Mapoon Aboriginal Council
		Noosa Com Noosa District Community FM Radio Association Pormpuraaw Community Council
		Radio Hinch Coastal Broadcasters Pty Ltd
4DB	4DB	Pinecam Pty Ltd
4RED	4RED	99 FM Community Radio Assn Inc.
	4BRZ	Breeze Rebel FM Stereo Pty Ltd
	4RBL	Rebel FM Rebel FM Stereo Pty Ltd
4CC	4CC	Regional Broadcasters Australia Pty Ltd
	4RGK	Sea FM Rockhampton Broadcasting Company Pty Ltd
4RO	4RO	Rockhampton Broadcasting Company Pty Ltd
	4ROK	Regional Broadcasters Australia Pty Ltd
4US	4US	Central Queensland Aboriginal Corporation for Me
4YOU	4YOU	Capricorn Community Radio 4 YOU Inc.
4ROM	4ROM	Regional Broadcasters Australia Pty Ltd
4ZR	4ZR	Regional Broadcasters Australia Pty Ltd
4RRR	4RRR	Roma Community Broadcasting Society Inc.
		Saibai Island Council
		Seisia Island Council
		St Pauls Island Council
		Stephens Island Council
		Warraber Island Council
4DDB	4DDB	Darling Downs Broadcasting Society
	4GOD	92.9 FM Th Toowoomba Christian Broadcasters Inc.
4AK	4AK	Radio 4AK Pty Ltd
4GR	4GR	Gold Radio Service Pty Ltd
4RGD	4RGD	Gold Radio Service Pty Ltd
4WK	4WK	Amalgamated Marketing Pty Ltd
4MW	4MW	Torres Strait Islanders Media Association Inc.
4RAM	4RAM	Nessan Pty Ltd
4RGR	4RGR	Central Victoria Broadcasters Pty Ltd
4RGT	4RGT	FNQ Broadcasters Townsville Pty Ltd
4TOO	4TOO	Townsville Broadcasters Pty Ltd
4KIG	4KIG	Townsville Aboriginal and Islander Media Associat
	4TCB	Live FM Townsville Christian Broadcasters Association Inc.
4TTT	4TTT	Townsville Community Broadcasting Co Ltd
		Umagico Aboriginal Council
	4CCC	Rainbow F Warwick Community FM Radio Association Inc.
	4CSB	Crow FM Community Radio of Wondai Association Inc.
		Woorabinda Aboriginal Council
		Wujal Wujal Aboriginal Council
4BAY	4BAY	Bayside Community Radio Association Inc.
		Yam Island Council
4NAG	4NAG	NAG Radio Broadcasting Association Inc.
		Yorke Island Council
	5MBS	Music Broadcasting Society of South Australia Inc.
5AA	5AA	Festival City Broadcasters Pty Ltd
5ADD	5ADD	5AD Broadcasting Company Pty Ltd
	5ADL	Nova 91.9 Nova 91.9 Pty Ltd
5DDD	5DDD	Progressive Music Broadcasting Association Inc.
5DN	5DN	Southern State Broadcasters Pty Ltd
5EBI	5EBI	Ethnic Broadcasters Inc.
	5FBI	Fresh FM Fresh Broadcasters Inc.
5MMM	5MMM	Triple M Adelaide Pty Ltd
	5RAM	Life FM Christian Radio Inc.
5RPH	5RPH	RPH Adelaide Inc.
	5SSA	SAFM Austereo Pty Ltd
5UV	5UV	University of Adelaide
5CST	5CST	Southern and Western Community Broadcasters Amata Community Council
	5BBB	BBB-FM Barossa Broadcasting Board Inc.
5CCR	5CCR	Ceduna Community Radio Inc.
		Pukatja (Ernabella) Community Council
		Kaltijiti Community Aboriginal Corporation
		Indulkana Community Council
5KIX	5KIX	Kangaroo Island Community Radio Inc.
5THE	5THE	Millicent Community Access Radio Inc.
5GTR	5GTR	South East Community Access Radio Inc.
	5RCB	Rhema FM South East Christian Broadcasters Inc.
5SE	5SE	South Eastern Broadcasters Pty Ltd
5SEF	5SEF	South Eastern Broadcasters Pty Ltd
5EZY	5EZY	Radio Murray Bridge Pty Ltd
5MU	5MU	Radio Murray Bridge Pty Ltd
5TCB	5TCB	Tatiara Community FM Broadcasters Inc.
	5WOW	WOW FM Way Out West Broadcasters Inc.
5CC	5CC	Lanson Investments Pty Ltd
5CCC	5CCC	Lanson Investments Pty Ltd
		Port Pirie 	5AU	5AU	5AU Broadcasters Pty Ltd
5CS	5CS	Lanson Investments Pty Ltd
	5TRX	TRAX FM Pirie Community Radio Broadcasters Inc.
		Renmark 5RIV Star FM 5AU Broadcasters Pty Ltd
5RM	5RM	5AU Broadcasters Pty Ltd
5PBA	5PBA	Para Broadcasters Association Inc.
	5GSFM Great South Great Southern FM Community Broadcaster's Ass
5EFM	5EFM	Encounter FM Community Broadcasters Associati
5YYY	5YYY	Whyalla FM Public Broadcasting Association Inc.
5RRR	5RRR	Woomera Access Radio Inc.
	5GFM	Gulf FM Peninsula Community Broadcasters Inc.
7BU	7BU	Burnie Broadcasting Service Pty Ltd
	7SEA	SEA FM Burnie Broadcasting Service Pty Ltd
7AD	7AD	Northern Tasmania Broadcasters Pty Ltd
7DDD	7DDD	Northern Tasmania Broadcasters Pty Ltd
7RGY	7RGY	Radio Geeveston Youth Inc.
7HFC	7HFC	Hope Foundation Communicators Inc.
7HHO	7HHO	Commercial Broadcasters Pty Ltd
7TTT	7TTT	Great Southern Land Broadcasters Pty Ltd
7XXX	7XXX	Tasradio Pty Ltd
7THE	7THE	Hobart FM Inc.
	7EDG	Edge Radio  Tasmanian Youth Broadcasters
7RP	7RPH	Broadcast Services for the Handicapped Inc.
7EX	7TAB	Tasradio Pty Ltd
7LA	7LA	Bass Radio Pty Ltd
7LTN	7LTN	Launceston Community FM Group Inc.
7WAY	7WAY	Launceston Christian Broadcasters Inc.
	7HRT	Heart FM Northern Midlands Community Broadcasters Inc.
7AUS	7AUS	XS West Pty Ltd
7XS	7XS	XS West Pty Ltd
	7BOD	BOD FM BOD FM
	7RGS	99.7 SEA F North East Tasmanian Radio Broadcasters Pty Ltd
7SD	7SD	North East Tasmanian Radio Broadcasters Pty Ltd
	7TAS	97.7 TASM Tasman Community Broadcasters Association Inc.
7DBS	7DBS	Coastal FM Inc.
3UGE	3UGE	Upper Goulburn Community Radio Inc.
		Bacchus Marsh Community Radio Inc.
3BBA	3BBA	Radio Ballarat Pty Ltd
3BT	3BT	Ballarat Sports Radio Pty Ltd
3RBA	3RBA	Radio Ballarat Pty Ltd
		Voice FM Ballarat Community FM Radio Cooperative Societ
3BGR	3BGR	Ballarat Gospel Radio Inc.
3BBO	3BBO	Radio 3BO Pty Ltd
3BDG	3BDG	Radio 3CV Pty Ltd
3BPH	3BPH	Vision Australia Foundation
	3CCC	Triple C FM Goldfields Community Radio Cooperative Ltd
	3EON	Radio KLF Bendigo FM Education Broadcasting Inc.
		WBCR Whitehorse Boroondara Community Radio Inc.
		Otway FM Otway FM Community Radio Group Inc.
3CCS	3CCS	ACE Radio Broadcasters Pty Ltd
3CS	3CS	ACE Radio Broadcasters Pty Ltd
3REG	3REG	Radio East Gippsland Inc.
3GRR	3GRR	Echuca-Moama Broadcast Service Inc.
		Rhema FM Geelong Gospel Radio Inc.
3BAY	3BAY	Geelong Broadcasters Pty Ltd
3CAT	3CAT	Geelong Broadcasters Pty Ltd
	3GPH	Vision Australia Foundation
3HA	3HA	ACE Radio Broadcasters Pty Ltd
	3HFM	Mixx FM ACE Radio Broadcasters Pty Ltd
3WM	3WM	ACE Radio Broadcasters Pty Ltd
3WWM	3WWM	ACE Radio Broadcasters Pty Ltd
	3HHH	Triple H Horsham & District Community FM Radio Inc.
3CH	3CH	Central Highlands Broadcasting Inc.
3GCR	3GCR	Gippsland Community Radio Society Cooperative 
3MFM	3MFM	South Gippsland FM Radio Inc.
3MGB	3MGB	Mallacoota Genoa Broadcasting Association Inc.
	3MCR	Mansfield Community Radio Inc.
3EL	3EL	AMI Radio Pty Ltd
		Joy Melbourne Inc.
3ECB	3ECB	Eastern Community Broadcasters Inc.
3INR	3INR	Inner North East Community Radio Inc.
3NOW	3NOW	North West Community Radio Association Inc.
3AK	3AK	Victorian Radio Network Pty Ltd
3AW	3AW	3AW  Southern Cross Radio Pty Ltd
3CR	3CR	Community Radio Melbourne Pty Ltd
3EE	3EE	693 Southern Cross Radio Pty Ltd
3FOX	3FOX	Austereo Pty Ltd
	3KKZ	Gold104.3 ARN Broadcasting Pty Ltd
3KND	3KND	Kool ' The South Eastern Indigenous Media Association 
3MBS	3MBS	Music Broadcasting Society of Victoria Ltd
	3MEL	NOVA 100 Nova 100 Pty Ltd
3MMM	3MMM	Triple M Melbourne Pty Ltd
3MP	3MP	Malbend Pty Ltd
3PBS	3PBS	Progressive Broadcasting Service Cooperative Ltd
3RPH	3RPH	Vision Australia Foundation
3RRR	3RRR	Triple R Broadcasters Ltd
	3SYN	90.7 SYN F Student Youth Network Inc.
	3TSC	Light FM Triple Seven Communications Inc.
3TTT	3TTT	Double T Radio Pty Ltd
3UZ	3UZ	3UZ Pty Ltd
3ZZZ	3ZZZ	Ethnic Public Broadcasting Association of Victoria 
3SER	3SER	South Eastern Radio Association Inc.
3SCB	3SCB	Southern Community Broadcasters Inc.
3WRB	3WRB	Western Radio Broadcasters Inc.
3RIM	3RIM	3RIM Inc.
3MDA	3MDA	Radio 3MA Pty Ltd
3ML	3ML	AMI Radio Pty Ltd
3RMR	3RMR	Radio 3MA Pty Ltd
3MPH	3MPH	Vision Australia Foundation
3HOT	3HOT	Sunraysia Community Radio Association Inc.
3RPP	3RPP	Radio Port Phillip Association Inc.
3MDR	3MDR	Mountain District Radio Inc.
3MBR	3MBR	Mallee Community and Educational Broadcasters 
3HCR	3HCR	Omeo Shire Community Access Radio Inc.
3PVR	3PVR	Plenty Valley Community Radio Inc.
3RPC	3RPC	Radio Portland Corporation
3GV	3GV	ACE Radio Broadcasters Pty Ltd
3TFM	3TR	FM ACE Radio Broadcasters Pty Ltd
3SR	3SR	3UZ Pty Ltd
3SRR	3SRR	Goulburn and Border Broadcasters Pty Ltd
3SUN	3SUN	Goulburn and Border Broadcasters Pty Ltd
3ONE	3ONE	Goulburn Valley Community Radio Inc.
3SPH	3SPH	Vision Australia Foundation
3NRG	3NRG	3NRG Inc.
3SH	3SH	ACE Radio Broadcasters Pty Ltd
3SHI	3SHI	ACE Radio Broadcasters Pty Ltd
3NE	3NE	North East Broadcasters Ltd
3NNN	3NNN	North East Broadcasters Ltd
3WPR	3WPR	Wangaratta Community Radio Association Inc.
3GG	3GG	Votraint No. 691 Pty Ltd
3SEA	3SEA	Votraint No. 691 Pty Ltd
3BBR	3BBR-FM West Gippsland Community Radio Inc.
3YB	3YB	Regional Communications Pty Ltd
3YFM	3YFM	Regional Communications Pty Ltd
3WAY	3WAY	Community Radio Endeavour Warrnambool Inc.
	3GDR	Golden Day Golden Days Radio for Senior Citizens Inc.
		WYN-FM WYN-FM Community Radio Inc.
3VYV	3VYV	Yarra Valley Broadcasters Inc.
6AAY	6AAY	Belcap Investments Pty Ltd
6VA	6VA	Belcap Investments Pty Ltd
6CRA	6CRA	Albany Community Radio Inc.
	6AY	Radio AM 1 Pirate Broadcasters Pty Ltd
	6HFM	Heritage FM Heritage FM Inc.
		Wirrimanu Aboriginal Corporation
		Beagle Bay Aboriginal Community Inc.
6BET	6BET	Elldale Pty Ltd
6BY	6BY	Elldale Pty Ltd
		Radio Gool Broome Aboriginal Media Association
6BUN	6BUN	Radio West Broadcasters Pty Ltd
6EL	6EL	AMI Radio Pty Ltd
6TZ	6TZ	Radio West Broadcasters Pty Ltd
6CAR	6CAR	Yamatji Media Pty Ltd
6LN	6LN	Yamatji Media Pty Ltd
	6RCI	VLU2-FM Radio VLU2-FM Announcers Association Inc.
6DBY	6DBY	Derby Media Aboriginal Corporation
		Djarindjin Aboriginal Corporation
6SE	6SE	Esperance Broadcasters Pty Ltd
6SEA	6SEA	Esperance Broadcasters Pty Ltd
6ESP	6ESP	Esperance Sonshine Broadcasters Inc.
6FX	6FX	Wangki Yupurnanupurru Aboriginal Corporation
6CCR	6CCR	Creative Community Radio Inc.
